Absolute Number,TS_Ver,TS_Degree of Automation,TS_State of Automation
5423,,Auto,In work
5425,,Auto,In work
5476,,Auto,In work
5435,,Auto,In work
5504,,Auto,In work
5436,,Auto,In work
5505,,Auto,In work
5437,passed,Auto,Implemented
5438,,Auto,In work
5512,passed,Auto,Implemented
5429,passed,Auto,Implemented
5433,passed,Auto,Implemented
5507,passed,Auto,Implemented
5441,,Auto,In work
16034,passed,Auto,Implemented
16891,,Auto,In work
16892,,Auto,In work
5364,passed,Auto,Implemented
5365,passed,Auto,Implemented
5366,passed,Auto,Implemented
5509,passed,Auto,Implemented
15876,passed,Auto,Implemented
17275,passed,Auto,Implemented
17276,passed,Auto,Implemented
5372,passed,Auto,Implemented
15651,passed,Auto,Implemented
17268,,Auto,In work
17492,passed,Auto,Implemented
5383,passed,Auto,Implemented
5384,passed,Auto,Implemented
5390,passed,Auto,Implemented
5391,passed,Auto,Implemented
5392,passed,Auto,Implemented
5397,passed,Auto,Implemented
5400,passed,Auto,Implemented
5401,passed,Auto,Implemented
16292,passed,Auto,Implemented
16293,passed,Auto,Implemented
16297,,Auto,In work
5456,passed,Auto,Implemented
5516,passed,Auto,Implemented
17290,passed,Auto,Implemented
17291,passed,Auto,Implemented
16136,,Auto,In work
16137,,Auto,In work
16138,,Auto,In work
16139,,Auto,In work
16125,,Auto,In work
17035,,Auto,In work
16133,passed,Auto,Implemented
16134,passed,Auto,Implemented
16127,,Auto,In work
16128,,Auto,In work
16129,,Auto,In work
16130,,Auto,In work
16131,,Auto,In work
16928,,Auto,In work
16931,passed,Auto,Implemented
16934,,Auto,In work
16936,,Auto,In work
17348,,Auto,In work
17349,,Auto,In work
17350,,Auto,In work
16030,,Auto,In work
16031,,Auto,In work
16897,passed,Auto,Implemented
16898,passed,Auto,Implemented
18596,passed,Auto,Implemented
18597,passed,Auto,Implemented
18602,passed,Auto,Implemented
18606,passed,Auto,Implemented
18610,passed,Auto,Implemented
18611,passed,Auto,Implemented
18612,passed,Auto,Implemented
18616,passed,Auto,Implemented
18617,passed,Auto,Implemented
17333,passed,Auto,Implemented
16991,,Auto,In work
16992,passed,Auto,Implemented
16993,,Auto,In work
16994,passed,Auto,Implemented
17009,passed,Auto,Implemented
16998,passed,Auto,Implemented
16999,passed,Auto,Implemented
17000,passed,Auto,Implemented
17001,passed,Auto,Implemented
17002,passed,Auto,Implemented
17003,passed,Auto,Implemented
17004,passed,Auto,Implemented
17010,passed,Auto,Implemented
17005,passed,Auto,Implemented
17006,passed,Auto,Implemented
17007,,Auto,In work
17008,,Auto,In work
18655,,Auto,In work
18656,,Auto,In work
18657,,Auto,In work
18658,,Auto,In work
18659,,Auto,In work
2754,passed,Auto,Implemented
2757,,Auto,In work
18544,,Auto,In work
18545,,Auto,In work
18548,,Auto,In work
18549,,Auto,In work
18550,,Auto,In work
2764,,Auto,In work
2765,,Auto,In work
18558,,Auto,In work
18559,,Auto,In work
18566,,Auto,In work
18567,,Auto,In work
3053,passed,Auto,Implemented
16821,,Auto,In work
3054,passed,Auto,Implemented
2772,,Auto,In work
2774,,Auto,In work
2777,,Auto,In work
3055,,Auto,In work
2784,,Auto,In work
18580,,Auto,In work
18581,,Auto,In work
18582,,Auto,In work
18583,,Auto,In work
18620,,Auto,In work
18618,,Auto,In work
18621,,Auto,In work
18619,,Auto,In work
2788,passed,Auto,Implemented
2789,,Auto,In work
2797,,Auto,In work
17109,,Auto,In work
2800,,Auto,In work
2802,,Auto,In work
3058,,Auto,In work
18574,,Auto,In work
2817,,Auto,In work
2818,,Auto,In work
2819,,Auto,In work
2824,,Auto,In work
2825,,Auto,In work
2827,,Auto,In work
2836,,Auto,In work
7942,,Auto,In work
2841,,Auto,In work
2842,,Auto,In work
15847,,Auto,In work
2848,passed,Auto,Implemented
2782,,Auto,In work
16218,,Auto,In work
16819,,Auto,In work
2799,,Auto,In work
17111,passed,Auto,Implemented
17113,,Auto,In work
3060,passed,Auto,Implemented
3596,passed,Auto,Implemented
15809,passed,Auto,Implemented
3590,passed,Auto,Implemented
3601,passed,Auto,Implemented
3063,passed,Auto,Implemented
3599,passed,Auto,Implemented
3064,passed,Auto,Implemented
3600,passed,Auto,Implemented
3065,passed,Auto,Implemented
